method,mean,std_dev
wdecay_mlp_nn,0.4221712351746054,0.20574246405677935
std_mlp_nn,0.26342405776237887,0.15613767329051315
dom_mlp_nn,0.3562292099386505,0.18499279106122266
ridge_reg,0.5643957326834068,0.10113194440558061
linear_reg,0.43538134088076463,0.13867832464353744
baesian_ridge_reg,0.5777291202539477,0.12805686811289008
lasso_reg,0.43371399673248046,0.1420669220978971
elastic_net,0.5059787984461857,0.1170367134196716
rbf_nn,0.442054582342893,0.22946795617533808
sgd_reg,0.039481300392873606,0.21835439960204311
