Id,ebv1,ebv2,ebv3,ebv4,ebv5,acc1,acc2,acc3,acc4,acc5
584,-0.7968766,0.42495818,-0.1674222,-0.4323738,-13.584473,0.56174244,0.66860776,0.43757688,0.47202582,0.47775292
585,-0.3865519,-0.3290423,-0.1674193,0.44209263,-30.065768,0.58894235,0.70728223,0.43757688,0.57978464,0.58882602
587,-1.2423516,-0.484462,-0.1674236,-0.4323673,-13.585729,0.57135529,0.68234517,0.43757688,0.47202582,0.47775292
588,-1.0483738,-0.0441134,-0.1674222,-0.4323738,-13.584473,0.53971951,0.63175952,0.43757688,0.47202582,0.47775292
589,-0.8700037,0.60069052,-0.179564,-0.5699785,-20.503047,0.58249142,0.69050991,0.44055646,0.50639576,0.51415284
590,-1.0501213,-1.1052391,-0.1674222,-0.4323738,-13.584473,0.52965509,0.61443731,0.43757688,0.47202582,0.47775292
591,-1.0872793,-0.1103923,-0.1674222,-0.4323738,-13.584473,0.54816506,0.64597004,0.43757688,0.47202582,0.47775292
592,-1.3239707,0.38680521,-0.1674232,-0.432372,-13.584104,0.58542363,0.7014907,0.43757688,0.47202582,0.47775292
593,-1.0706186,0.06544097,-0.1674222,-0.4323738,-13.584473,0.53973984,0.63182833,0.43757688,0.47202582,0.47775292
594,-1.0967713,0.39832449,-0.1674222,-0.4323738,-13.584473,0.55540563,0.658327,0.43757688,0.47202582,0.47775292
595,-1.1248504,-0.5782332,-0.1674219,-0.4323578,-13.585289,0.54308025,0.64075725,0.43757688,0.47202582,0.47775292
596,-1.1096873,0.52422079,-0.1674222,-0.4323738,-13.584473,0.53978023,0.64626675,0.43757688,0.47202582,0.47775292
597,-1.1107863,0.24956533,-0.1674222,-0.4323738,-13.584473,0.52967585,0.63181675,0.43757688,0.47202582,0.47775292
598,-0.9762315,-0.3593602,-0.1674222,-0.4323738,-13.584473,0.50290961,0.59354606,0.43757688,0.47202582,0.47775292
600,-1.5579589,0.12699067,-0.1674222,-0.4323738,-13.584473,0.56181621,0.65803969,0.43757688,0.47202582,0.47775292
601,-1.0944284,-0.2344119,-0.1674222,-0.4323738,-13.584473,0.5554171,0.65827658,0.43757688,0.47202582,0.47775292
602,-1.234524,0.00361752,-0.1674222,-0.4323738,-13.584473,0.55540009,0.65831618,0.43757688,0.47202582,0.47775292
603,-0.7127528,0.1023042,-0.1674222,-0.4323738,-13.584473,0.51772303,0.61451942,0.43757688,0.47202582,0.47775292
604,-0.4075089,-0.2601008,-0.1674222,-0.4323738,-13.584473,0.52958262,0.6138138,0.43757688,0.47202582,0.47775292
605,-1.2871582,-0.0021716,-0.167422,-0.4323813,-13.58568,0.551816,0.66095117,0.43757688,0.47202582,0.47775292
607,-1.1719181,0.2319337,-0.1674222,-0.4323738,-13.584473,0.52958927,0.63125054,0.43757688,0.47202582,0.47775292
608,-1.0814448,0.13546787,-0.1674218,-0.4323799,-13.583655,0.51761729,0.59342127,0.43757688,0.47202582,0.47775292
609,-0.9100887,-0.0533847,-0.1674219,-0.0740139,10.5219152,0.57831402,0.69381122,0.43757688,0.59989352,0.61278745
610,-0.6640503,0.8850303,-0.1627866,-0.2777429,1.93232176,0.59498569,0.70924618,0.44306745,0.51066314,0.5192638
611,-0.8692892,0.41801594,-0.1674222,-0.4323738,-13.584473,0.55550478,0.65810419,0.43757688,0.47202582,0.47775292
612,-0.6569697,0.12129021,-0.1674222,-0.4323738,-13.584473,0.53968727,0.6462742,0.43757688,0.47202582,0.47775292
613,-1.1591483,-0.0390214,-0.1674222,-0.4323738,-13.584473,0.52970011,0.6317402,0.43757688,0.47202582,0.47775292
614,-1.1820619,-0.747128,-0.1674222,-0.4323738,-13.584473,0.53975826,0.6317763,0.43757688,0.47202582,0.47775292
615,-1.4364651,-0.5054372,-0.1674222,-0.4323738,-13.584473,0.55559237,0.66872875,0.43757688,0.47202582,0.47775292
616,-1.2581043,-0.226536,-0.1674222,-0.4323738,-13.584473,0.54813496,0.64604046,0.43757688,0.47202582,0.47775292
617,-1.3108899,0.45785001,-0.1674222,-0.4323738,-13.584473,0.53962982,0.63126817,0.43757688,0.47202582,0.47775292
618,-1.1980065,-0.3589588,-0.1674222,-0.4323738,-13.584473,0.54812181,0.65835049,0.43757688,0.47202582,0.47775292
619,-1.3143083,-0.0015897,-0.1674222,-0.4323738,-13.584473,0.55548746,0.65828201,0.43757688,0.47202582,0.47775292
620,-0.560377,0.45288509,-0.1674222,-0.4323738,-13.584473,0.54812229,0.64598086,0.43757688,0.47202582,0.47775292
621,-0.4853194,0.1661402,-0.1674222,-0.4323738,-13.584473,0.53975163,0.64569806,0.43757688,0.47202582,0.47775292
622,-1.1816324,-0.1185058,-0.1674222,-0.4323738,-13.584473,0.53961595,0.63152853,0.43757688,0.47202582,0.47775292
623,-0.7087459,-0.1502662,-0.1674222,-0.4323738,-13.584473,0.50293247,0.61447718,0.43757688,0.47202582,0.47775292
624,-1.3639429,-0.1811856,-0.1674222,-0.4323738,-13.584473,0.53964295,0.61429507,0.43757688,0.47202582,0.47775292
625,-0.7095492,1.45373343,-0.1674222,-0.4323738,-13.584473,0.55553755,0.65849429,0.43757688,0.47202582,0.47775292
626,-0.9307093,-0.0787394,-0.1674185,-0.4678654,-6.9512734,0.52368363,0.63041325,0.43757688,0.48917519,0.49634326
627,-1.3079331,-0.276955,-0.1674222,-0.4323738,-13.584473,0.55557216,0.64624509,0.43757688,0.47202582,0.47775292
628,-1.3971519,0.0155925,-0.1674239,-0.4323663,-13.583794,0.55818174,0.6514975,0.43757688,0.47202582,0.47775292
630,-1.6075882,0.22717517,-0.1674176,-0.4078159,-20.391479,0.56556062,0.68029766,0.43757688,0.59599802,0.60960207
631,-1.1877902,0.26107953,-0.1674222,-0.4323738,-13.584473,0.52976826,0.63187434,0.43757688,0.47202582,0.47775292
632,-1.126393,0.78265656,-0.0622764,-1.4101566,-25.988253,0.59431149,0.70085339,0.46215294,0.66635604,0.70256201
633,-0.769341,-0.3045319,-0.1674222,-0.4323738,-13.584473,0.52976797,0.63187405,0.43757688,0.47202582,0.47775292
634,-1.2876593,0.08771408,-0.1674222,-0.4323738,-13.584473,0.53973984,0.63184252,0.43757688,0.47202582,0.47775292
635,-1.3085301,0.28561211,-0.1476125,-0.5327346,-20.454346,0.53937446,0.61765068,0.44494931,0.50877781,0.51814271
