ID,t1,t2,t3,t4,t5
584,NaN,NaN,NaN,NaN,NaN
585,2.57936658,-1.9898856,NaN,NaN,NaN
587,-2.6382394,-0.7754189,NaN,NaN,NaN
588,NaN,NaN,NaN,NaN,NaN
589,-1.6479555,-0.4367114,NaN,NaN,NaN
590,NaN,NaN,NaN,NaN,NaN
591,NaN,NaN,NaN,NaN,NaN
592,-2.1028729,-1.2008539,NaN,NaN,NaN
593,NaN,NaN,NaN,NaN,NaN
594,NaN,NaN,NaN,NaN,NaN
595,-0.0373332,-0.8870237,NaN,NaN,NaN
596,NaN,NaN,NaN,NaN,NaN
597,NaN,NaN,NaN,NaN,NaN
598,NaN,NaN,NaN,NaN,NaN
600,NaN,NaN,NaN,NaN,NaN
601,NaN,NaN,NaN,NaN,NaN
602,NaN,NaN,NaN,NaN,NaN
603,NaN,NaN,NaN,NaN,NaN
604,NaN,NaN,NaN,NaN,NaN
605,-1.9300714,-2.1019076,NaN,NaN,NaN
607,NaN,NaN,NaN,NaN,NaN
608,NaN,NaN,NaN,NaN,NaN
609,-1.9768119,-0.779834,NaN,NaN,NaN
610,-2.5327564,-0.1896507,NaN,NaN,NaN
611,NaN,NaN,NaN,NaN,NaN
612,NaN,NaN,NaN,NaN,NaN
613,NaN,NaN,NaN,NaN,NaN
614,NaN,NaN,NaN,NaN,NaN
615,NaN,NaN,NaN,NaN,NaN
616,NaN,NaN,NaN,NaN,NaN
617,NaN,NaN,NaN,NaN,NaN
618,NaN,NaN,NaN,NaN,NaN
619,NaN,NaN,NaN,NaN,NaN
620,NaN,NaN,NaN,NaN,NaN
621,NaN,NaN,NaN,NaN,NaN
622,NaN,NaN,NaN,NaN,NaN
623,NaN,NaN,NaN,NaN,NaN
624,NaN,NaN,NaN,NaN,NaN
625,NaN,NaN,NaN,NaN,NaN
626,-0.2967464,-0.7508315,NaN,NaN,NaN
627,NaN,NaN,NaN,NaN,NaN
628,-2.2835897,-0.2266894,NaN,NaN,NaN
630,-2.3231395,-1.8554675,NaN,NaN,NaN
631,NaN,NaN,NaN,NaN,NaN
632,2.69336775,-0.7410113,NaN,NaN,NaN
