RIL,420 SET,411 SET,Core-Pop165,Core-Pop18,FLOLD,FLOSD,DM10,DM3,NP10,NP3,AA10,AA3,HU10,HU3,NO10,PO3,CL10,CL3,PRL,LRN,LRD,LRL,SO10,SO3
001,X,X,,,36,62,9.0,3.4,6.52,2.78,221.8,84.2,90.4,84.2,1835.4,11.1,32.4,516.6,NA,NA,NA,NA,85.7,70.3
002,X,X,,,34,56.5,14.2,5.8,6.95,2.12,140.8,46.6,93.0,87.0,2369.7,18.2,34.5,451.3,NA,NA,NA,NA,213.5,124.0
003,X,X,X,,67,74,23.8,7.1,6.62,1.56,164.5,38.9,92.2,84.6,2108.8,14.6,40.9,340.7,NA,NA,NA,NA,137.8,92.2
004,X,X,,,44,62.5,14.9,5.4,7.16,1.94,147.3,41.6,92.7,86.6,2483.4,17.5,40.2,418.0,NA,NA,NA,NA,181.8,77.6
005,X,X,,,35,63,12.3,4.6,7.30,2.77,171.6,81.6,92.8,87.5,2263.7,21.0,40.8,474.0,NA,NA,NA,NA,114.4,47.4
006,X,X,,,64,82,17.7,8.0,6.96,2.10,147.9,44.2,92.8,87.6,2075.1,15.0,39.0,350.0,NA,NA,NA,NA,187.4,86.4
007,X,X,X,X,35,56,16.0,6.5,7.27,2.08,139.5,48.4,93.0,87.6,2197.1,18.0,36.7,444.1,NA,NA,NA,NA,196.2,138.7
008,X,X,,,33,61,14.2,5.0,7.01,2.00,152.9,46.9,92.4,87.0,2473.9,19.6,39.8,477.2,NA,NA,NA,NA,107.9,48.2
009,X,X,,,59,80,19.1,4.8,6.82,3.31,151.7,82.9,91.8,84.9,2140.8,25.6,46.4,450.2,NA,NA,NA,NA,140.1,168.6
010,X,X,,,34,59,19.3,6.2,7.28,3.08,160.2,66.6,92.8,87.8,2141.8,9.8,34.9,474.2,NA,NA,NA,NA,86.7,46.2
011,X,X,,,36,54.5,17.4,6.8,6.81,2.27,135.0,50.8,92.8,87.6,1883.5,14.2,35.4,416.6,NA,NA,NA,NA,189.2,167.6
012,X,X,,,43,57,19.0,6.6,6.78,2.02,146.4,41.4,92.0,85.4,1735.0,12.8,34.9,325.0,NA,NA,NA,NA,166.0,130.4
013,X,X,X,,37,59.5,13.6,6.8,7.19,2.33,138.5,52.8,93.0,87.5,2168.4,17.1,37.5,433.5,NA,NA,NA,NA,141.7,99.8
014,X,X,,,35,62.5,19.2,5.9,7.06,2.69,159.7,80.1,92.0,86.9,1838.8,10.6,35.3,397.0,NA,NA,NA,NA,156.4,148.8
015,X,X,X,,30,63.5,19.5,8.2,6.76,2.02,158.6,41.6,92.2,85.8,1877.6,13.9,37.2,383.0,NA,NA,NA,NA,185.2,57.2
016,X,X,,,32,60.5,17.3,5.7,6.43,2.05,145.7,40.5,92.2,86.2,1763.4,19.8,43.9,335.4,NA,NA,NA,NA,250.7,183.1
017,X,X,X,,55,72,18.8,7.0,6.90,2.09,168.9,43.6,92.2,86.2,2090.9,8.4,48.4,516.2,NA,NA,NA,NA,80.7,24.6
018,X,X,X,,42,68,20.8,7.1,6.49,2.23,171.8,59.4,91.8,87.4,1978.0,13.3,47.2,500.8,81.9,33.4,0.408,393.9,85.0,15.8
019,X,X,X,,40,65.5,15.4,6.6,6.85,2.34,156.8,47.8,92.3,86.8,2231.3,19.2,43.0,496.2,NA,NA,NA,NA,130.3,28.6
020,X,X,,,33,60.5,15.7,6.0,7.01,2.28,141.6,47.2,92.9,87.2,2129.4,21.3,40.0,395.8,NA,NA,NA,NA,147.2,108.8
021,X,X,,,50,64,22.2,8.0,6.89,1.96,171.2,41.8,92.3,86.0,2498.4,10.4,43.2,299.3,NA,NA,NA,NA,81.2,34.0
022,X,X,X,,33,56.5,16.8,4.8,6.95,1.90,147.1,38.2,93.1,87.4,2167.2,29.8,34.6,453.9,NA,NA,NA,NA,195.1,199.4
023,X,X,,,41,58.5,19.9,6.4,6.87,2.02,153.7,38.5,92.5,85.2,2218.9,19.1,40.5,328.0,NA,NA,NA,NA,139.7,89.6
024,X,X,X,,45,57.5,19.1,6.6,6.93,2.08,148.4,43.1,92.6,87.3,2124.5,16.2,42.5,384.6,NA,NA,NA,NA,94.4,58.8
025,X,X,,,35,72,12.4,5.4,7.11,2.12,150.5,42.5,92.8,86.5,2484.9,18.2,36.7,411.8,NA,NA,NA,NA,164.0,91.6
026,X,X,,,28,42.5,19.5,7.1,7.32,2.17,165.7,46.5,92.9,86.6,2383.5,15.8,36.6,420.9,NA,NA,NA,NA,86.7,46.3
027,X,X,,,31,58.5,19.4,8.2,6.99,1.96,151.3,40.1,92.8,86.6,2132.8,24.2,39.9,378.0,NA,NA,NA,NA,108.5,99.6
028,X,X,,,45,66,17.4,5.2,7.08,2.13,149.4,45.0,92.4,85.2,2218.1,12.0,33.7,434.4,NA,NA,NA,NA,156.1,113.3
029,X,X,,,69,80,19.2,6.7,6.88,2.17,163.1,60.2,92.2,86.4,2082.0,14.3,40.7,454.8,NA,NA,NA,NA,81.2,56.4
030,X,X,X,X,36,59,20.4,7.8,6.99,2.67,169.8,62.2,92.5,87.5,2095.6,13.8,36.0,517.4,NA,NA,NA,NA,120.0,66.1
031,X,X,,,57,86,21.2,8.1,6.56,2.08,161.1,42.9,92.0,85.8,1883.4,9.4,40.8,340.7,NA,NA,NA,NA,84.5,86.8
032,X,X,X,,33,62,18.8,8.1,6.73,2.16,148.0,48.2,92.4,86.0,1969.9,12.4,33.2,407.8,NA,NA,NA,NA,142.5,42.4
033,X,X,,,27,54.5,17.1,5.2,7.15,2.00,137.4,38.2,92.8,85.2,2094.5,16.4,36.6,356.8,NA,NA,NA,NA,153.0,111.4
034,X,X,X,,34,55.5,18.5,6.0,7.32,2.00,146.8,43.2,93.2,86.2,2333.9,27.6,32.8,349.0,NA,NA,NA,NA,161.4,140.2
035,X,X,X,,32,65,9.1,2.8,7.32,1.66,155.9,NA,92.9,85.6,2086.5,NA,34.5,NA,NA,NA,NA,NA,119.9,NA
036,X,X,,,29,59.5,16.6,8.0,6.75,2.33,152.8,49.5,92.2,86.6,1851.3,13.7,34.8,392.8,NA,NA,NA,NA,166.3,49.6
037,X,X,X,,33,58,16.8,5.4,6.77,2.66,144.9,64.2,92.7,87.6,1956.7,17.0,39.4,407.8,NA,NA,NA,NA,134.6,122.4
038,X,X,,,36,60.5,16.7,5.4,6.87,1.74,144.8,34.1,92.9,85.6,2087.7,18.8,41.5,365.8,NA,NA,NA,NA,145.9,117.2
039,X,X,,,33,62,17.8,6.6,6.86,2.09,145.6,42.2,92.6,85.8,1905.9,14.4,39.6,303.0,NA,NA,NA,NA,123.1,91.2
040,X,X,,,36,67,16.9,7.0,7.18,2.30,150.0,51.1,92.9,87.4,2320.3,23.4,38.0,395.0,72.6,18.2,0.25,220.2,158.0,100.2
041,X,X,,,26,53,16.0,5.9,6.88,2.30,131.4,45.9,93.0,87.2,1992.5,29.2,41.9,380.0,NA,NA,NA,NA,196.2,136.4
042,X,X,,,35,67,15.6,6.8,6.53,1.86,152.1,48.2,92.2,85.2,1902.0,25.1,36.5,335.2,NA,NA,NA,NA,133.7,74.1
043,X,X,,,34,56,17.5,4.8,7.30,2.51,161.0,53.8,92.8,88.2,2225.8,17.2,41.3,527.5,NA,NA,NA,NA,78.4,38.8
044,X,X,X,,26,52,18.1,5.6,6.83,2.42,131.5,41.2,92.7,87.2,1902.1,10.5,36.5,396.2,NA,NA,NA,NA,81.8,43.0
045,X,X,X,X,25,46,14.9,4.8,6.98,2.31,144.8,58.4,92.7,87.0,2093.7,21.6,36.4,366.4,NA,NA,NA,NA,146.1,61.4
046,X,X,,,27,53,17.8,5.5,6.87,2.70,142.6,63.2,92.3,87.5,1981.1,12.9,37.0,515.6,NA,NA,NA,NA,147.7,71.0
047,X,X,X,,37,58.5,21.8,6.5,6.93,2.18,155.8,40.0,92.3,86.6,1950.9,12.0,37.5,384.9,NA,NA,NA,NA,65.0,30.3
048,X,X,X,,29,55,16.7,4.7,6.92,1.82,158.1,39.0,92.4,85.4,1949.1,14.6,42.2,435.5,NA,NA,NA,NA,98.9,75.6
049,X,X,X,,27,53.5,18.4,7.4,6.67,2.30,140.4,43.0,91.9,85.4,1781.4,16.4,45.5,355.8,NA,NA,NA,NA,212.0,118.0
050,X,X,,,50,75.5,16.9,7.8,6.50,2.00,125.7,34.6,92.1,84.8,1659.7,21.0,37.8,295.2,78.2,22.8,0.291,217.8,175.7,104.9
051,X,X,,,40,75,14.6,6.8,7.03,2.18,134.4,44.4,92.5,87.6,2123.6,16.9,41.3,530.4,NA,NA,NA,NA,157.5,109.6
052,X,X,,,35,58.5,19.6,6.8,6.65,2.05,140.1,41.8,92.9,87.3,1960.1,21.2,40.7,447.0,NA,NA,NA,NA,81.5,24.4
053,X,X,X,,33,65.5,20.1,7.8,7.13,1.79,156.2,35.0,92.3,84.4,2143.1,23.4,39.3,392.4,NA,NA,NA,NA,87.5,37.2
054,X,X,,,28,58,17.7,5.2,7.20,2.16,138.3,36.2,92.7,87.8,2040.1,15.0,42.6,488.3,NA,NA,NA,NA,124.0,109.9
