"Genotype","BV","Std_Error(BV)","Derregressed_BV"
1087120,5.653,0.611774738456596,12.6370331837631
1085618,3.729,0.610369399292188,-0.308803074676002
1091040,11.07,0.60876018840452,24.5804210795205
1091686,6.404,0.601274450875438,11.2275590350102
1082624,-1.175,0.60755110394893,-4.53177418157996
1088628,2.62,0.592280155863806,9.77811434234268
1088644,1.519,0.609766333832498,5.02270091967506
1084648,8.391,0.635860049018338,11.7614280185769
1083276,-3.576,0.577345833182202,-17.0625015663122
1084112,3.444,0.590015907642404,3.88533183182642
1094004,-1.316,0.607954339366492,0.470525734069408
1084022,0.5829,0.608357367518356,-5.92726680926458
1085330,5.553,0.607147661265668,12.982263580907
1088676,-3.037,0.609565208379752,-10.6618800174281
1088606,-2.149,0.555514459373332,-11.00602646122
1080862,-4.23,0.609766333832498,-0.625027900192131
1090712,3.294,0.607147661265668,1.45158217401612
1090718,6.359,0.60755110394893,11.3150170328643
1089706,15.45,0.612376249423542,35.0620639006679
1093734,-1.656,0.611172761141827,-6.66511069592031
1087716,NA,NA,NA
1088416,-0.9156,0.580479301929125,-3.2791359930245
1088384,1.137,0.595357662871977,2.63941688096266
1088608,-1.601,0.489715890542984,-17.5989972688037
294054,-4.699,0.597607091595894,-11.1060514501696
1082458,6.023,0.60654210861759,2.72641320032359
1093220,-0.5237,0.610570317479235,-1.08847910970587
1085674,1.332,0.60996740746882,-8.36331216255758
1092304,2.455,0.672571364171015,5.83798485592275
1093272,3.113,0.610168429288716,11.1965522591531
1080958,-6.202,0.565968811693931,-5.81627262413963
1088278,-0.6697,0.613377731373291,-3.61622753995139
1090816,-2.022,0.597811274217702,-3.71510338798399
1081278,-1.72,0.596176362383348,-0.79845749275114
1088664,-0.8046,0.678074268481623,-2.10291111155407
1095268,-3.238,0.577136520734342,-6.20970857492826
1093708,2.938,0.610971998404054,8.79177779299153
1083844,3.811,0.611172761141827,7.74104088029947
1089612,5.379,0.612175797584318,0.550600464527432
1087932,-0.2781,0.612175797584318,-10.1967931345205
1088686,-1.372,0.609766333832498,-4.92205907947577
1084228,-3.933,0.551427257512086,-1.22450055751086
1091092,6.882,0.608155879350637,10.4679416408142
1083348,0.2467,0.608558803869651,-1.67929157831593
1091656,2.364,0.61197529392867,-2.7932107904355
1090758,4.635,0.627851846478297,5.61668247219528
1091204,2.632,0.61197529392867,6.4541893867864
1085738,6.828,0.609766333832498,10.0805811663792
