"Genotype","BV","Std_Error(BV)","Derregressed_BV"
1087120,7.022,0.693208590549138,12.8652508694666
1085618,0.4445,0.692028624678562,-1.84121946466643
1091040,12.61,0.692127041670926,20.400425949753
1091686,4.848,0.669178959288472,12.2432356926183
1082624,-7.357,0.691634799430652,-5.74876121753731
1088628,1.829,0.692422198280947,4.09854719964735
1088644,-6.171,0.691634799430652,-14.2346364715199
1084648,-3.137,0.716332297916847,-6.02493449550852
1083276,-8.611,0.657136045862397,-16.9318733732524
1084112,3.525,0.670401956543963,7.14949937066251
1094004,2.271,0.690550482451657,2.17331319658513
1084022,2.348,0.691634799430652,3.97487326980749
1085330,20.23,0.690649135361701,28.5275161007333
1088676,-3.873,0.691142163994244,-8.98211801125988
1088606,-7.621,0.62559864111416,-23.4734985073466
1080862,-3.422,0.698977147440686,-1.57113002397466
1090712,3.786,0.6907477725439,-5.2586227927075
1090718,10.51,0.691240722537216,9.83521326002048
1089706,26.82,0.693110346563073,35.0211627794348
1093734,6.164,0.692127041670926,11.7634166728786
1087716,NA,NA,NA
1088416,1.327,0.671521047789058,0.93868595151166
1088384,-9.394,0.65993428906207,-29.0458526807595
1088608,-2.442,0.534958281890172,-13.7657659147273
294054,1.208,0.680405267255412,-0.330017352896186
1082458,17.17,0.689859471701674,28.2108144860653
1093220,2.697,0.691733279334398,8.87252071751748
1085674,-10.68,0.691634799430652,-27.1599064169836
1092304,12.91,0.755584368094493,14.5475768475662
1093272,2.968,0.690944999724763,9.52565245824317
1080958,-6.469,0.654013439443863,-8.15427134102498
1088278,6.358,0.693699574561783,10.8005579696049
1090816,-15.69,0.680705991522691,-26.6899816984788
1081278,-8.425,0.68768270644763,-14.6998197701125
1088664,-8.156,0.757160109465804,-14.9305864808399
1095268,-3.527,0.682007494318316,-6.9229405371834
1093708,8.662,0.692028624678562,17.4603927176414
1083844,11.3,0.692520552361929,21.6839358302068
1089612,26.31,0.692815520237805,33.8698295960319
1087932,-1.549,0.693110346563073,-6.05880574818795
1088686,-5.388,0.680505524405684,-12.999239729717
1084228,-6.424,0.625381565392449,-8.97367558050922
1091092,2.685,0.691043589723426,-2.1994377016162
1083348,-1.478,0.680304994377295,1.02217486119165
1091656,0.9371,0.692520552361929,2.2355527246982
1090758,24.22,0.71035001533465,38.623030087936
1091204,11.2,0.693110346563073,12.2074076486814
1085738,2.939,0.680204705771333,3.90031770507346
1087834,1.361,0.692028624678562,0.555155803269934
1086654,9.291,0.706807514764515,13.3067244308988
1087612,5.759,0.67111432570795,7.29178246381367
1085408,-13.36,0.672029096513923,-28.1951060098718
1081892,-1.471,0.67980339406903,1.49953869973448
1092058,NA,NA,NA
1087808,-1.113,0.692028624678562,-5.09624246385921
1084654,-3.398,0.691043589723426,-7.16774390523617
1091310,6.465,0.67213065907536,0.606085847292851
1089606,26.6,0.692618890715067,34.5447295851507
1092224,4.219,0.666623774211052,-5.10808385237967
1089374,0.6857,0.690254429354451,0.438370978260915
1085648,-11.58,0.680505524405684,-30.5889091035505
