"Genotype","BV","Std_Error(BV)","Derregressed_BV"
1087120,0.3893,0.702307151700832,0.71769926800125
1085618,0.2729,0.716242797099898,0.442983366066348
1091040,0.7221,0.71553627461477,1.19793089887585
1091686,0.2495,0.683020125568614,0.382763930976208
1082624,0.09927,0.715889645668103,0.226394226228287
1088628,-0.1279,0.716419290457719,-0.30227102681761
1088644,-0.1159,0.71553627461477,-0.277817129792637
1084648,-0.4304,0.747460241638596,-0.8714732682942
1083276,-0.2426,0.682086596772112,-0.546380060735395
1084112,0.429,0.699770522946333,0.580696769319701
1094004,0.01061,0.714297746408502,-0.0834330574904261
1084022,0.2347,0.715712987594128,0.153688424370239
1085330,1.163,0.714297746408502,1.58367432349951
1088676,-0.5705,0.700133557347301,-1.32209859564009
1088606,-0.2899,0.659076656152286,-0.824603876385977
1080862,-0.08508,0.724304664486923,0.477264431677719
1090712,0.5731,0.714651886137214,0.522230381763745
1090718,0.9212,0.714828873643494,1.24670405000104
1089706,1.582,0.718181204239794,2.39096874199949
1093734,0.5056,0.716772112457208,0.58211946433406
1087716,NA,NA,NA
1088416,0.147,0.701402448231086,0.132196815481489
1088384,-0.2754,0.685812476150474,-0.958755040803936
1088608,-0.371,0.55789720613952,-1.93095323887615
294054,-0.007639,0.699407268923827,-0.13380349827391
1082458,0.6194,0.713943387058252,0.831175370318408
1093220,-0.01553,0.715889645668103,0.198832611855049
1085674,-0.4574,0.716066248836692,-1.09550346771339
1092304,0.5513,0.776232419982266,0.72637294117716
1093272,0.2873,0.71553627461477,0.840485873103122
1080958,-0.695,0.676645061397946,-0.67023992687965
1088278,0.1738,0.719235717050593,0.124648706372726
1090816,-0.821,0.683206666611761,-1.24017075649949
1081278,-0.4773,0.693748747470921,-0.604071792299921
1088664,0.1306,0.766568221312623,0.211514113241427
1095268,-0.6142,0.705372876191104,-1.05102123365778
1093708,0.7602,0.716948441098876,1.11842190456175
1083844,0.5115,0.716948441098876,1.01870594117868
1089612,0.9233,0.717653206611706,0.998824143105823
1087932,0.01129,0.717829260726453,-0.293144790651342
1088686,0.2001,0.682273412342181,0.445894800551912
1084228,-0.4093,0.657914748409803,-0.541205490163816
1091092,-0.03678,0.714828873643494,-0.407532344127714
1083348,0.1374,0.700133557347301,0.327353247619885
1091656,0.2773,0.701221342820984,0.429059804062206
1090758,0.5881,0.738895907627181,0.5586839454663
1091204,0.4021,0.717829260726453,0.468277386894788
1085738,-0.1699,0.700314992189709,-0.52651123916374
1087834,0.04454,0.71712471483516,-0.224485283172922
1086654,0.7332,0.726388653253281,1.20037052298231
1087612,0.2998,0.701040182505497,0.145473695759989
1085408,-0.447,0.702126320817651,-1.3525039120681
1081892,-0.06296,0.699043795279784,0.145009563576313
1092058,NA,NA,NA
1087808,0.1737,0.716948441098876,0.0478908613285738
1084654,0.1393,0.714828873643494,0.229145980746299
1091310,0.2097,0.702126320817651,0.0446570422579444
1089606,1.265,0.717653206611706,1.72256114827621
1092224,-0.01142,0.694115405627253,-0.38525276438004
1089374,-0.06045,0.713588808086465,-0.130595421306002
1085648,-0.7166,0.700496372126733,-1.74661219101292
1082694,0.3713,0.716772112457208,0.792547807079739
1090922,-0.5294,0.72932743649506,-0.538957961571948
1091020,0.2311,0.71500580624439,0.160097079291867
1093256,-0.002835,0.700314992189709,0.251767938571694
1086314,-1.056,0.716242797099898,-1.39678052941253
1091720,0.4802,0.701764494335137,0.881951458613654
1082310,0.7905,0.703029926179711,1.9659780795281
1092896,0.1244,0.716595728910156,0.458320950893552
1091336,0.5286,0.717477097591575,0.73598561476274
1093408,-0.1681,0.716419290457719,-0.107862754780051
1086440,NA,NA,NA
1088826,0.2239,0.785538882620524,0.207086149754704
1091162,NA,NA,NA
1089356,0.2696,0.714297746408502,0.559192793149325
1082004,0.5482,0.717653206611706,0.856990101716617
1085036,0.8465,0.716595728910156,0.953272303655194
1085876,-0.08487,0.699225559554498,-0.302722193539756
1092076,0.2997,0.718708707719423,0.408194144734563
1083102,0.5865,0.55811751399401,1.09452607212891
1084710,-0.05927,0.698316189127087,-0.210554338417101
1090872,-0.5625,0.55281497160019,-0.730086118834206
1087830,NA,NA,NA
1091732,-0.2061,0.683952281730508,-0.711145509975359
1088216,0.1048,0.718532928131597,-0.0204973097309169
1087032,-0.0197,0.717477097591575,-0.179140004654239
1085034,NA,NA,NA
1082418,0.6336,0.714651886137214,0.860000224289973
1091048,0.2749,0.715359506730027,0.252887702470929
1081634,0.9568,0.715359506730027,1.32658960898858
1091706,0.4428,0.701402448231086,0.79926504463071
1082532,0.3078,0.698861976099686,0.1602223799153
1092354,0.3328,0.709316729945122,0.368889256377793
1086918,0.06254,0.714297746408502,0.238186612780342
1088634,0.03446,0.716066248836692,0.0421128824048171
1085462,0.489,0.702487927678628,0.743639726268766
1085070,0.7874,0.71730093366606,0.828579577801116
1084624,0.5572,0.71447484372555,1.12117032699714
294374,NA,NA,NA
1091596,1.105,0.714651886137214,1.29138178231065
1089212,-0.5207,0.713943387058252,-1.09305844309209
1082510,-0.03089,0.714651886137214,-0.536561235751116
1085486,0.6322,0.718005259935816,1.01946596281326
1089708,1.365,0.718357093638388,1.93155056722399
1081274,-0.5411,0.675513461427595,-0.768994585159038
1088690,0.2586,0.715712987594128,0.518777763472134
1088282,NA,NA,NA
1080352,0.7137,0.71730093366606,0.94274617693007
1085708,0.6943,0.701221342820984,1.39978136836086
1088876,0.6579,0.780910358724328,0.9430612068455
1093506,0.1507,0.700133557347301,0.607608507985375
1082148,0.6273,0.71730093366606,1.02551008880624
1091050,0.4136,0.714651886137214,0.546825734684573
1084618,-0.0009005,0.71447484372555,-0.0698203785671635
1086982,-0.3947,0.697952056618432,-0.753013995809108
1083812,0.1152,0.717477097591575,0.185785785864652
1094006,-0.1213,0.7151826839399,-0.358684910632168
1084354,NA,NA,NA
1084296,NA,NA,NA
1087660,NA,NA,NA
1080848,-0.6266,0.621527056000747,-0.481477423434382
1093812,0.4299,0.598559941580671,0.60343495836058
1089646,0.9155,0.717653206611706,0.982303368624322
1089234,-0.226,0.714651886137214,-0.475491381682933
1084298,-0.2119,0.68189972629666,-0.0524688094157327
1081484,0.7938,0.71712471483516,1.13317347513852
1084232,-0.5016,0.551040429579727,-1.15748175214192
1086224,-0.8491,0.683393152749524,-0.991099146431437
1093784,0.5729,0.716948441098876,0.723814743355459
1092036,0.868,0.718708707719423,1.60855178135837
1080222,0.7612,0.71712471483516,1.04339468019699
1085742,NA,NA,NA
1091226,0.009652,0.683020125568614,-0.46359492183515
294350,-0.1585,0.80619362932826,-0.409441489878842
1085698,NA,NA,NA
1088626,0.4969,0.71500580624439,1.0281599242345
1091682,0.1823,0.701583498735804,0.216210589233446
1086256,-1.069,0.701221342820984,-1.46266610790294
1095386,-0.3549,0.688037461943706,-0.543714669663885
1090770,0.9729,0.714297746408502,1.3556538462756
1081598,-0.08659,0.701221342820984,-0.806164306545535
1088666,-0.2386,0.700133557347301,-0.573153416516217
1089220,-0.1749,0.71447484372555,-0.369109846250707
1085332,0.9796,0.714297746408502,1.1941517722577
1082134,0.2083,0.717477097591575,0.136995371306396
1084404,0.4105,0.71730093366606,0.253527857610879
1091438,1.077,0.71447484372555,1.23210585205777
1085108,0.8938,0.716772112457208,1.0527131000068
1092042,0.4905,0.741766553287048,0.762927095943517
1080428,-0.4527,0.67758655147517,-0.904646896892498
1085712,0.2216,0.715889645668103,0.335243539472256
1082164,-0.4961,0.70321048253597,-1.446839260944
1093754,-0.217,0.71712471483516,-0.939476611340385
