"Genotype","BV","Std_Error(BV)","Derregressed_BV"
1087120,0.003221,0.507451852831121,-0.311033147539388
1085618,-0.0277,0.529649804284474,-0.0256147835819927
1091040,0.0351,0.524122148329952,0.0434470539307893
1091686,-0.04564,0.476985342890152,0.131053125264234
1082624,-0.002263,0.523494341206021,0.0241477088221924
1088628,0.07954,0.529857762807727,0.421025196751793
1088644,-0.06662,0.529649804284474,-0.331825980109464
1084648,-0.1189,0.583541824494042,-0.368462454278903
1083276,-0.06049,0.497505417382757,0.0297455542587474
1084112,0.08847,0.500188961759313,0.16468339594508
1094004,-0.04256,0.523284980198532,-0.0540633601098491
1084022,0.08829,0.500510504262058,0.163297195779366
1085330,0.1988,0.522132672709611,0.369132106644603
1088676,-0.06727,0.529649804284474,-0.335177075174822
1088606,-0.04413,0.50393385332544,-0.268341517599352
1080862,-0.003932,0.523912925271731,-0.0360189898427717
1090712,0.1325,0.518667404312064,0.434719249618397
1090718,0.007515,0.518772596377682,-0.127542841938269
1089706,0.184,0.535455261327647,0.275066456608843
1093734,-0.05511,0.530273541904964,-0.00891880046630723
1087716,NA,NA,NA
1088416,-0.0739,0.531312184943987,-0.255554579110636
1088384,-0.01323,0.510320904487375,-0.161398181023048
1088608,-0.014,0.436649672083091,-0.197762536611577
294054,-0.01249,0.497182909235129,0.110184798932889
1082458,0.1683,0.520454106002517,0.379802967921809
1093220,-0.04099,0.530065675347891,-0.0877035834218385
1085674,-0.06852,0.529545807779189,-0.222757770122871
1092304,-0.06003,0.587057047770682,-0.169179272190923
1093272,-0.02015,0.530065675347891,0.0146358789901426
1080958,0.01542,0.470605832954931,0.0335065789922257
1088278,-0.0136,0.535971852601206,-0.130817632176216
1090816,0.04498,0.499974542611954,0.095559970060821
1081278,0.06572,0.500510504262058,0.151869020202667
1088664,0.01458,0.586179638687873,0.0593034567714503
1095268,-0.03657,0.480816337791777,0.0465092753931421
1093708,-0.08561,0.530585255522282,-0.157853843100446
1083844,0.1285,0.530273541904964,0.408882057481755
1089612,0.1809,0.535351908585618,0.259524820852361
1087932,-0.06094,0.53286799404519,-0.043705163772118
1088686,0.01659,0.50393385332544,0.121778998941482
1084228,0.01101,0.49362849112239,0.209374158399458
1091092,-0.008636,0.523808296498962,-0.175856580503119
1083348,-0.09771,0.497505417382757,-0.174692137028809
1091656,-0.07726,0.532453364525196,-0.10467726020059
1090758,-0.03851,0.561033234278094,-0.255781105752219
1091204,0.1206,0.531415986021141,0.200084714970608
1085738,-0.07148,0.503827051851681,-0.282815390802057
1087834,-0.104,0.532660702276738,-0.255144884677598
1086654,0.03868,0.519613719054818,0.188689155630627
1087612,-0.02902,0.531623553688131,0.132000216532782
1085408,-0.2146,0.534524672801577,-0.490974410686057
1081892,0.02475,0.497397926162654,0.227729053646592
1092058,NA,NA,NA
1087808,-0.02621,0.532660702276738,0.126890440178666
1084654,-0.08097,0.526629238347598,-0.325420085703894
1091310,0.001359,0.53120837237106,-0.400314376612868
1089606,0.3355,0.509790230892589,1.25086918711539
1092224,-0.01901,0.511593348546072,-0.0577228241645844
1089374,0.0816,0.520874023577829,0.518325601413588
1085648,-0.07012,0.503827051851681,-0.274807625531078
1082694,-0.04052,0.523703656230421,-0.153528111721917
1090922,0.03989,0.526107473976445,0.0596338587567228
1091020,0.03511,0.523912925271731,0.0435130255524373
1093256,0.03983,0.504467688257643,0.385276510667059
1086314,0.03853,0.52621184984222,0.386638670402942
1091720,-0.07118,0.507238997108813,-0.0758166879160125
1082310,0.05349,0.508196485742368,0.425456150495999
1092896,-0.006333,0.530481362478948,-0.243264521229668
1091336,0.1388,0.531415986021141,0.291605638055507
1093408,-0.05408,0.52725497623249,-0.11166706667705
1086440,NA,NA,NA
1088826,-0.05691,0.583052420722279,-0.0196436979432767
1091162,NA,NA,NA
1089356,-0.009977,0.520664087781718,0.0991000735950544
1082004,0.04267,0.536488156480454,0.0183187114043506
1085036,0.05049,0.471047040700782,-0.236493017306199
1085876,-0.09486,0.517720158411744,-0.114727357635958
1092076,-0.04364,0.53721049908896,0.0405135683658445
1083102,0.09137,0.42704923064543,0.836037104988935
1084710,0.01256,0.526316214212224,0.165576269041061
1090872,0.04833,0.468065318978946,0.145312751794601
1087830,NA,NA,NA
1091732,-0.09297,0.507238997108813,-0.206832017310513
1088216,0.0251,0.5360751363686,0.054141235569602
1087032,0.1324,0.532971622685757,0.403763323951045
1085034,NA,NA,NA
1082418,0.1448,0.520454106002517,0.267037167882971
1091048,-0.001341,0.524017542548728,-0.139011811759475
1081634,-0.02606,0.52767190490697,-0.215584514191096
1091706,-0.02579,0.532660702276738,0.14791423556114
1082532,0.2238,0.493736384694529,0.762375060908827
1092354,-0.03205,0.511381389494014,-0.11720974230222
1086918,-0.01576,0.518877776947527,0.225053314842049
1088634,-0.036,0.529441799778132,-0.174239213689062
1085462,-0.1379,0.534731550722222,-0.109761097867752
1085070,0.01777,0.528192807095191,-0.265137201492538
1084624,-0.03083,0.526316214212224,-0.062548731339897
294374,NA,NA,NA
1091596,0.08978,0.525794277404485,0.124166453262207
1089212,-0.1138,0.52108391339085,-0.376135364277348
1082510,0.06525,0.520559102640004,-0.114526227516151
1085486,-0.1364,0.534731550722222,-0.102316259389108
1089708,0.104,0.535558602573903,-0.127778974069963
1081274,0.06235,0.471267575599073,0.155672844114751
1088690,0.03769,0.529545807779189,0.206115355589627
1088282,NA,NA,NA
1080352,-0.024,0.532660702276738,-0.21436405284417
1085708,-0.01036,0.504040643303425,0.0768728735417581
1088876,-0.06349,0.59837863050863,-0.0442503862777397
1093506,-0.02413,0.527150715324439,0.0290317922677346
1082148,-0.04404,0.536694597561747,-0.415234557811161
1091050,0.05391,0.523912925271731,0.13771965103493
1084618,-0.03686,0.526524908464912,-0.0941358460339747
1086982,-0.0938,0.518772596377682,-0.13220006017274
1083812,0.01494,0.530377457939843,-0.134929853531957
1094006,-0.03882,0.523703656230421,-0.036758693679063
1084354,NA,NA,NA
1084296,NA,NA,NA
1087660,NA,NA,NA
1080848,0.06175,0.470495502279037,0.228129061120695
1093812,-0.001842,0.467622869689671,-0.100362177492047
1089646,0.2567,0.535455261327647,0.641359866607197
1089234,-0.02901,0.52108391339085,0.0116778022246114
1084298,-0.0793,0.493844266770895,-0.300080249106958
1081484,-0.02703,0.533903763141105,0.00752978527819954
1084232,-0.06807,0.461186685596372,-0.305080397004008
1086224,-0.04261,0.468175902561833,0.0406976341612614
1093784,-0.03716,0.530377457939843,0.0787441013345415
1092036,-0.02991,0.537004172965392,0.109538043915619
1080222,0.04459,0.532660702276738,0.122889946838579
1085742,NA,NA,NA
1091226,0.09782,0.47478988027153,0.0744449522156187
294350,-0.0997,0.633697046161274,-0.229155769064393
1085698,NA,NA,NA
1088626,0.006689,0.529441799778132,0.0461995993582986
1091682,-0.05922,0.507238997108813,-0.00390556632086699
1086256,-0.08068,0.499652827672623,-0.201613304984883
1095386,-0.07539,0.480925587865063,-0.122829954217468
1090770,-0.002696,0.518351759140576,-0.1740227575191
1081598,-0.06504,0.533800237962489,-0.182986974727336
1088666,-0.001982,0.50393385332544,0.00245557612862984
1089220,-0.0673,0.52108391339085,-0.163453299855351
1085332,0.1672,0.522027848508711,0.209081056599167
1082134,0.1297,0.536488156480454,0.454203468026468
1084404,-0.05502,0.531519775602522,-0.237311649187547
1091438,0.08162,0.525898687757577,0.0828127213732172
1085108,0.09848,0.52798448070722,0.127111251203672
1092042,-0.03686,0.537004172965392,0.0746823743154591
1080428,-0.139,0.517614851388402,-0.290490238734191
1085712,0.02666,0.529337780281302,0.237313614732024
1082164,-0.009886,0.511381389494014,-0.313757380739767
1093754,-0.08064,0.530585255522282,-0.133605888726796
1081412,-0.1171,0.533696701288101,-0.444291515745455
1092222,NA,NA,NA
1084048,0.04865,0.52621184984222,-0.0539869046755916
1083234,-0.1075,0.524122148329952,-0.20360609651209
1083818,0.06883,0.530377457939843,0.123014881355288
1083946,0.03544,0.530481362478948,-0.036740469040567
1094054,-0.04586,0.497290423446777,-0.0753362028128696
1086884,-0.08352,0.518877776947527,-0.0851119471901465
1084050,0.03551,0.526420567086454,-0.12010108616307
1088230,0.06181,0.535971852601206,0.229641759710544
1094118,-0.01162,0.523599004466108,0.0888919498219218
1084092,0.1437,0.526316214212224,0.426160248691908
1088212,-0.05708,0.535868557338039,-0.338912986156197
1087250,-0.1917,0.50596089713008,-0.399069475549385
1085612,NA,NA,NA
1090852,-0.006042,0.54869137299758,-0.136852787366896
1090098,0.1906,0.535558602573903,0.274725091083402
1081330,-0.01887,0.392572581433178,-0.606658297374164
1080186,-0.1612,0.536694597561747,-0.2175427702044
1081358,0.04205,0.436194347528696,0.0497904970284477
1087458,-0.1135,0.463410427815171,-0.324522292529741
1089844,0.007183,0.522237485414739,-0.0713413237145247
1084122,0.1214,0.526107473976445,0.313905823183051
1084346,-0.05685,0.520874023577829,-0.148913795836471
1080622,-0.05438,0.520034004494847,-0.0983597438409437
1080920,0.01513,0.470054064617737,0.0323478417589708
1086408,-0.01908,0.502009667944613,-0.0905227093008935
1085780,0.002855,0.529441799778132,0.122066011554197
1084406,-0.03397,0.553364956287325,-0.113059127695637
1093712,-0.1106,0.504467688257643,-0.328388757675414
1091068,0.05864,0.596550785448651,0.116517340200253
1094066,-0.01667,0.523389666450163,0.0657056836420773
1084642,-0.07725,0.50104617851785,-0.376163522672761
1084248,-0.03723,0.493736384694529,-0.0629690270337385
1082618,-0.00284,0.523599004466108,0.0214439192778298
1080886,0.04048,0.470164441276721,0.138985899177419
1092168,-0.08834,0.537004172965392,-0.183500340938675
1091608,-0.07374,0.532453364525196,-0.0873801358742406
1081450,-0.1113,0.508515441696316,-0.503611404217878
1084462,-0.0557,0.531727320277968,-0.240405381680706
1080830,0.02758,0.523912925271731,0.0693139361939825
1090412,0.04184,0.523703656230421,-0.0385874480892761
1086032,-0.0563,0.534524672801577,0.083206933544455
