"Genotype","BV","Std_Error(BV)","Derregressed_BV"
1087120,0.02618,0.658600448877448,0.052795911915551
1085618,-0.2249,0.693341842405295,-0.568986295818845
1091040,0.1397,0.691559813278455,0.275863516736653
1091686,-0.2891,0.609044593751568,-0.79167529487328
1082624,0.04154,0.691857176661241,-0.0399620033263046
1088628,-0.1572,0.69393470482364,-0.446917875278385
1088644,0.04144,0.693045196079134,0.0142806232506863
1084648,0.01383,0.761436981478427,-0.181741170365951
1083276,0.3122,0.655149613865007,0.358906450577805
1084112,0.4281,0.654835041123197,0.649057482014626
1094004,0.1095,0.690368925634057,0.218129258780461
1084022,0.4651,0.65577832911465,0.747901751311739
1085330,-0.3248,0.690368925634057,-0.569580298340812
1088676,0.284,0.693341842405295,0.579069918761402
1088606,0.1757,0.656092471622484,0.373594235873403
1080862,-0.7685,0.714323492926236,-1.03104942344749
1090712,0.3359,0.690666862662144,0.270556114145262
1090718,0.4176,0.690666862662144,0.455417379349747
1089706,-0.2947,0.696595486845596,-0.522984120291402
1093734,-0.1798,0.694230920915825,-0.322679264593569
1087716,NA,NA,NA
1088416,0.2105,0.694526993596684,0.301721553882013
1088384,-0.09656,0.660475408543013,0.289642425975461
1088608,0.1245,0.534465039904201,0.449889832792553
294054,0.06932,0.653260026244272,0.142645216187663
1082458,0.369,0.690368925634057,0.444138355790057
1093220,0.04766,0.692748406341649,0.0321949076753896
1085674,0.2142,0.69363834532013,0.440609510091555
1092304,0.2442,0.772041316802788,0.46012267722203
1093272,-0.1838,0.692451473192838,-0.5043146665457
1080958,-0.2852,0.6453311726027,-0.00536130449450619
1088278,-0.4867,0.697774327938677,-0.689725364652107
1090816,-0.008215,0.657034038678034,0.332972864614849
1081278,0.02414,0.683778027950867,-0.0386450588627267
1088664,0.1017,0.762221082898917,0.134180326965105
1095268,-0.02979,0.676204117339146,-0.405342638791496
1093708,-0.1794,0.695414351171312,-0.320583394359381
1083844,-0.2865,0.69363834532013,-0.406689916020254
1089612,-0.1974,0.695709850206871,-0.298994799694865
1087932,0.09739,0.695414351171312,0.346505091243999
1088686,-0.01431,0.656092471622484,-0.146676918738211
1084228,-0.04806,0.653575316042708,0.0964003576950061
1091092,0.2049,0.690368925634057,0.4289393502463
1083348,0.5603,0.655149613865007,1.0135983940288
1091656,-0.2194,0.694230920915825,-0.394590453337831
1090758,0.5383,0.74195935723044,0.673298643791584
1091204,-0.1142,0.695414351171312,-0.0371950108456966
1085738,0.06593,0.656092471622484,0.110259951834548
1087834,0.2002,0.695118708724428,0.583721722474134
1086654,0.3474,0.689175743408457,0.252581500302394
1087612,0.07541,0.694230920915825,-0.0200820593299987
1085408,0.2297,0.69482292286622,-0.137168121059965
1081892,0.2489,0.653890462429818,0.476215514016304
1092058,NA,NA,NA
1087808,-0.1947,0.69482292286622,-0.325721643919883
1084654,0.3324,0.691262306484343,0.43934489071195
1091310,-0.204,0.69482292286622,-0.244869187737004
1089606,-0.3779,0.658913300683355,-0.821185599249067
1092224,0.2286,0.684680873948616,0.593433198087813
1089374,-0.09883,0.689175743408457,-0.139920488959006
1085648,-0.1717,0.656406470718993,-0.528474781700981
1082694,0.04055,0.69363834532013,-0.0412253079391728
1090922,-0.03838,0.693341842405295,0.186544833134445
1091020,-0.04433,0.691559813278455,-0.150966463739547
1093256,-0.03692,0.656406470718993,-0.200983923901448
1086314,-0.2408,0.693045196079134,-0.179117311652103
1091720,0.1098,0.658287453660216,0.440821148871037
1082310,-0.1802,0.659850995633125,-0.0587516419510215
1092896,0.2858,0.69363834532013,0.739635775523018
1091336,-0.09659,0.69482292286622,0.00391792836063256
1093408,-0.02066,0.69363834532013,-0.0731578243771225
1086440,NA,NA,NA
1088826,-0.002508,0.760389505159222,-0.143740268409697
1091162,NA,NA,NA
1089356,-0.03081,0.689772621343907,0.0153527779868448
1082004,0.01166,0.695118708724428,0.212012463130639
1085036,0.1233,0.606361081034569,0.404440871705148
1085876,0.3335,0.691857176661241,0.377456071634694
1092076,0.1357,0.696890412235854,-0.332251556830323
1083102,0.3008,0.534099556141948,0.959427306502413
1084710,0.349,0.690666862662144,0.47880829383123
1090872,-0.6032,0.605015882804265,-1.57758623244944
1087830,NA,NA,NA
1091732,0.2654,0.658287453660216,0.859950904636366
1088216,-0.3948,0.697185194214787,-0.480649670151941
1087032,-0.2307,0.695414351171312,-0.545968379679446
1085034,NA,NA,NA
1082418,-0.03684,0.690666862662144,-0.487907843676492
1091048,-0.2968,0.691262306484343,-0.737446450869209
1081634,0.8273,0.692748406341649,1.15134035331859
1091706,-0.1984,0.694230920915825,-0.346083914869835
1082532,0.5251,0.652629016413426,0.885906890391887
1092354,-0.1737,0.683778027950867,-0.322297705658833
1086918,0.1671,0.690070845194645,0.0198130601046284
1088634,-0.03247,0.692748406341649,-0.158269505172212
1085462,0.3851,0.695709850206871,0.223738903223905
1085070,-0.05469,0.694230920915825,-0.138288789508057
1084624,0.4423,0.690964656278906,0.697529462405609
294374,NA,NA,NA
1091596,0.1876,0.691262306484343,0.0371535815428445
1089212,-0.1209,0.690964656278906,-0.189532092871302
1082510,0.1553,0.690964656278906,-0.0463040352102465
1085486,0.6444,0.695709850206871,0.822106426676429
1089708,0.3696,0.696890412235854,1.00929125940946
1081274,0.149,0.644054238163188,0.269334413290841
1088690,0.1008,0.692748406341649,0.152759070391597
1088282,NA,NA,NA
1080352,0.3218,0.694526993596684,0.56488759376407
1085708,-0.1142,0.657034038678034,-0.372771986045065
1088876,0.2256,0.778136871768764,0.263616447884057
1093506,0.1863,0.692748406341649,0.400398510049243
1082148,-0.04121,0.696300418044013,0.088102274000976
1091050,0.264,0.691559813278455,0.564158721720577
1084618,0.01755,0.691262306484343,-0.298781021804172
1086982,0.2815,0.689474254081845,0.279964951196842
1083812,0.1083,0.69482292286622,0.497485067125772
1094006,0.1388,0.691857176661241,0.283723273572886
1084354,NA,NA,NA
1084296,NA,NA,NA
1087660,NA,NA,NA
1080848,-0.557,0.644373686890054,-0.654413116988875
1093812,0.6195,0.604005478312622,1.40638587052318
1089646,-0.2636,0.696005205831104,-0.451977979710524
1089234,-0.3954,0.690070845194645,-0.815196436228607
1084298,0.07182,0.654520324970063,0.413325175602619
1081484,0.2523,0.694526993596684,0.429415175171907
1084232,-0.2036,0.602993783119053,-0.368796552636983
1086224,-0.4743,0.606697022063832,-0.921548218733899
1093784,0.0643,0.694526993596684,0.238987254655969
1092036,0.6522,0.696595486845596,0.861142976256595
1080222,0.2164,0.69482292286622,0.321035960512342
1085742,NA,NA,NA
1091226,-0.1198,0.60837457604027,0.0144389069017821
294350,0.2979,0.804781333581913,0.199214222771295
1085698,NA,NA,NA
1088626,0.2038,0.691857176661241,0.394344938513924
1091682,0.0564,0.657974315031658,0.29753160780452
1086256,-0.1463,0.656406470718993,0.0906608018800615
1095386,0.3948,0.67742196631268,0.533530306737041
1090770,0.5755,0.689175743408457,0.815063591450456
1081598,0.283,0.694526993596684,0.50062201673914
1088666,-0.2336,0.655464043195491,-0.749512590487236
1089220,-0.1713,0.690666862662144,-0.304212553718037
1085332,-0.1618,0.690070845194645,-0.189676948823572
1082134,-0.1834,0.696005205831104,-0.240735635023369
1084404,0.6345,0.69482292286622,0.827799955343345
1091438,0.6136,0.691559813278455,1.02895377933353
1085108,0.3377,0.693045196079134,0.766289171697462
1092042,0.4664,0.696890412235854,0.431562296636757
1080428,0.03532,0.688279350920342,0.0414342029705301
1085712,-0.08162,0.691857176661241,-0.241037356870017
1082164,-0.1649,0.660163273793732,-0.207729616863019
1093754,-0.1339,0.69482292286622,-0.216652775393947
1081412,0.02421,0.69363834532013,-0.100410553998517
1092222,NA,NA,NA
1084048,0.3184,0.692154396632702,0.342788298206742
1083234,0.3984,0.692154396632702,0.544316215004431
1083818,-0.06208,0.694230920915825,0.108405407224333
1083946,-0.03759,0.695118708724428,0.163317101628594
1094054,0.08951,0.654520324970063,0.195465505989023
1086884,-0.06317,0.690070845194645,-0.503845898802874
1084050,0.2247,0.693045196079134,0.125882703764342
1088230,-0.2262,0.696595486845596,-0.0949877033820594
1094118,-0.2493,0.691559813278455,-0.600260374972338
1084092,0.02429,0.691857176661241,-0.340748380217482
1088212,-0.3329,0.696890412235854,-0.339270060928913
1087250,0.0005482,0.657974315031658,-0.29505272899486
1085612,NA,NA,NA
1090852,-0.008114,0.721717494030504,0.208971971628645
1090098,-0.2161,0.695414351171312,-0.421965224160127
1081330,-0.1831,0.511908087681684,-1.29595297327766
1080186,0.6991,0.697185194214787,0.936323014306013
1081358,0.2619,0.591437698535053,0.692234953978033
1087458,0.199,0.604005478312622,0.154204365699274
1089844,0.05999,0.690666862662144,0.0775363876465958
1084122,0.3403,0.690368925634057,0.394301382554859
1084346,-0.3233,0.691857176661241,-0.564036580351697
1080622,-0.02694,0.691559813278455,-0.203673052049057
1080920,-0.4589,0.643095031514639,-0.419312917599255
1086408,-0.4479,0.68257222552865,-0.92809009986388
1085780,-0.2161,0.693341842405295,-0.548743625562607
1084406,0.5233,0.723410034490424,0.56134095217813
1093712,0.0792,0.656720326404176,0.333119127274662
1091068,-0.2242,0.77662072723883,-0.413373726106582
