"Genotype","BV","Std_Error(BV)","Derregressed_BV"
1087120,0.04028,0.387102191917952,-0.143214193783386
1085618,1.156,0.346588181964132,2.90821719148913
1091040,-0.2912,0.349413064624276,-2.58722455587921
1091686,0.5656,0.359563080206632,-0.939067756132062
1082624,-0.8569,0.352544645808347,-1.89981167130216
1088628,0.5535,0.372253879062037,-1.30764789882919
1088644,0.7618,0.342024110153085,2.23942950167601
1084648,0.968,0.429406935564601,3.15378302293593
1083276,0.4579,0.3283958768144,-0.544537301272238
1084112,-0.03313,0.358162453134887,2.4016180820445
1094004,-0.5855,0.33380047974766,-0.334206028020698
1084022,0.06842,0.326323640793661,7.23722244355216
1085330,-0.4864,0.266006327380559,-0.444375599668592
1088676,0.6643,0.372253879062037,0.191339157315369
1088606,0.8761,0.342812152348214,5.07827918647742
1080862,0.3648,0.234537969005279,0.422898266183685
1090712,-0.2349,0.277781214290436,-0.233551747120299
1090718,-0.4641,0.348942675820907,-2.34831224080479
1089706,-0.1072,0.378245181274731,-1.6277971302118
1093734,-0.1607,0.341708761061111,1.06186302238588
1087716,-0.834,0.317360594584896,-0.847141191272803
1088416,-0.5427,0.373485206206499,-2.88117727485153
1088384,-0.08312,0.383444928179509,-1.81114266412553
1088608,0.6077,0.341393336418325,-1.77178098761696
294054,-0.5889,0.333641832484961,-0.380562390446178
1082458,-0.1468,0.362204534937529,-1.61744638900657
1093220,0.02919,0.375637120003022,-2.56441157049825
1085674,1.095,0.379164370236757,1.48266387731042
1092304,0.7765,0.380541878759833,2.50514648641788
1093272,0.5312,0.373946642238571,3.11616276863447
1080958,NA,NA,NA
1088278,0.1973,0.356292570521962,2.22779358807153
1090816,0.1219,0.292079781658152,0.122263024757276
1081278,0.03554,0.230280916809111,0.0374000471344078
1088664,0.7636,0.37055883047342,1.55766484488765
1095268,0.2493,0.154854611904919,0.249299999999978
1093708,-0.8336,0.370250394280804,-8.14348653149442
1083844,-0.1823,0.375176307265155,-0.766493502894338
1089612,0.3097,0.377478671061206,3.28100008696977
1087932,1.354,0.388470860995949,2.33157810034074
1088686,0.8469,0.342654581684594,4.36077192402659
1084228,-0.1174,0.263006015733457,-0.119910451615641
1091092,-0.06658,0.316718110474176,0.383273009796673
1083348,0.6386,0.328555147371304,1.95220975676958
1091656,0.6027,0.386797835469218,0.0645806809415078
1090758,-0.1495,0.315271416294422,0.924535446407536
1091204,-0.3764,0.361894058872971,-0.397588397813474
1085738,1.158,0.377938633852431,2.19085210069656
1087834,1.48,0.388926744043291,3.75253806656244
1086654,-0.0187,0.363135509826328,-0.550986685697536
1087612,-1.127,0.380847784000227,-4.17262133171208
1085408,1.075,0.356916166929521,1.97333943432511
1081892,0.8173,0.362825260414207,0.416548159090942
1092058,-0.7683,0.312373438223045,-0.864118821913715
1087808,1.268,0.387558584933279,1.35234019015401
1084654,0.292,0.379011219295678,-4.05389325098701
1091310,-0.3744,0.294204072188802,-0.371640738724174
1089606,-0.01658,0.375944234056418,-0.587615723780183
1092224,0.3981,0.351449451784416,-0.222931066309338
1089374,0.001928,0.355512650039192,-0.289233030859522
1085648,1.056,0.314467036236059,1.05130944456992
1082694,-0.6072,0.319125867653864,1.50940408210187
1090922,0.07413,0.360651399106612,-0.419585929159788
1091020,0.08942,0.317039390304942,3.75631018307283
1093256,0.2837,0.310599439035216,0.287710231064061
1086314,0.5038,0.321689457828481,3.29649875245555
1091720,0.5387,0.388318862204762,-0.637758880020533
1082310,0.09592,0.346431064605389,-0.2052672489299
1092896,-0.2798,0.358473835809196,2.27134780015696
1091336,-0.396,0.363135509826328,-0.623926557716597
1093408,-0.1431,0.339183248496067,0.816575894076424
1086440,0.4896,0.25228867965511,0.49169658739101
1088826,1.804,0.422485810613,2.38977791898298
1091162,-0.08819,0.28009178479351,-0.0867582184075965
1089356,0.03092,0.356136624200814,-0.000331823810946715
1082004,-0.5815,0.379470615455808,-3.57300418386047
1085036,0.2577,0.29371413461266,0.268522236375498
1085876,-0.5226,0.33427630820954,-2.05969790496764
1092076,-0.9405,0.376097762751561,-3.05504069972104
1083102,-0.1128,0.263172860259328,-0.0909369159531328
1084710,0.4312,0.347844440876767,-4.99278866288282
1090872,0.2524,0.36096217737442,1.5955918653157
1087830,1.26,0.326164105808913,1.26
1091732,0.6545,0.327121032401855,0.654500000000003
1088216,0.3043,0.384970110209748,2.62496479821061
1087032,0.2531,0.388318862204762,2.3318288253883
1085034,0.2577,0.29371413461266,0.268522236375498
1082418,0.2033,0.3615835072576,2.1559697687615
1091048,-0.08819,0.28009178479351,-0.0867582184075965
1081634,-0.4058,0.328077279037483,-0.169673901835553
1091706,0.5542,0.389838000169989,-0.442734307730651
1082532,0.178,0.329987732436797,3.00201334952601
1092354,0.5559,0.319286233697551,1.3944032945037
1086918,0.7012,0.345016158430054,0.773233396789437
1088634,0.7021,0.308338316539017,0.817093360953342
1085462,1.281,0.386036613812577,4.02163225359937
1085070,0.4107,0.330146814116669,2.93006368600311
1084624,0.7509,0.376865122911728,2.33686427063033
294374,-0.5417,0.308984729291994,-0.541699999999971
1091596,0.09368,0.337918678994041,1.38332064662315
1089212,0.03441,0.289624710782046,0.0336297600283071
1082510,-0.01055,0.362514935451275,-0.15450051015747
1085486,0.9272,0.384512753921559,-0.180710867241942
1089708,-0.008952,0.348942675820907,-0.81514309272036
1081274,-0.09283,0.273314659690808,-2.04696839711283
1088690,0.5124,0.34296970412413,-4.04477382618504
1088282,0.08009,0.323129352435097,0.0794905689617576
1080352,0.254,0.374254171821436,1.03727719539757
1085708,1.443,0.376251272559,5.45956193552842
1088876,1.865,0.42292883113449,2.78113478983954
1093506,-0.2815,0.369633295243132,-0.87451085159319
1082148,-0.722,0.378704860750408,-5.30989902557588
1091050,-0.07093,0.3490994909764,0.125301200420206
1084618,0.6317,0.314788844922513,0.61390750397205
1086982,0.567,0.344386820160734,-0.668205235747071
1083812,-0.181,0.345645194496123,-1.11821666018405
1094006,-0.6238,0.366852609808384,-0.777623015984422
1084354,-0.1174,0.263006015733457,-0.119910451615641
1084296,-0.1174,0.263006015733457,-0.119910451615641
1087660,-0.834,0.317360594584896,-0.847141191272803
1080848,0.409,0.275301494961705,0.772135526388438
1093812,0.428,0.329828631869222,-0.523847958077261
1089646,-0.03025,0.378398426654327,-0.72640539939512
1089234,0.07464,0.32568538752845,0.61949565463607
1084298,-0.3534,0.335861175381768,-2.68760190039253
1081484,-0.4641,0.376251272559,1.05062090815977
1084232,0.03825,0.301857567830464,2.62039482756306
1086224,0.1954,0.353951392495916,-1.03429114398099
1093784,-0.1942,0.371021343104572,0.0873725258922957
1092036,-0.6634,0.37548353464477,0.635226415035449
1080222,0.3159,0.376097762751561,1.7166247870374
1085742,1.056,0.314467036236059,1.05130944456992
1091226,-0.3744,0.294204072188802,-0.371640738724174
294350,-0.5305,0.42602521508372,-0.460871909990843
1085698,1.056,0.314467036236059,1.05130944456992
1088626,0.6054,0.342024110153085,-1.78477391358973
1091682,0.7226,0.360495981641153,1.85183801925874
1086256,0.07894,0.32088885531075,-3.79609808189024
1095386,0.2493,0.154854611904919,0.249299999999978
1090770,-0.3855,0.347530489474827,-1.64249351497144
1081598,-0.6634,0.377478671061206,-1.24559140703814
1088666,0.998,0.342496992133272,8.2117625317381
1089220,-0.03754,0.32568538752845,-1.01294071489693
1085332,-0.4864,0.266006327380559,-0.444375599668592
1082134,-0.4411,0.379623709733778,-1.88762057704855
1084404,-0.1159,0.365769579465289,1.51028645685356
1091438,-0.07657,0.369478973264456,-1.05373945050511
1085108,0.01749,0.327917951817469,-4.11386379405014
1092042,-0.8111,0.375790686473572,-1.34079459618951
1080428,-0.3313,0.270661315150771,-0.331299999999997
1085712,1.056,0.314467036236059,1.05130944456992
1082164,-0.309,0.314949720934186,-0.303601675320478
1093754,-0.2332,0.341077836224726,-0.557554238962418
1081412,-0.5235,0.348158316727894,0.940236170644584
1092222,0.4797,0.281410448677389,0.478643676058521
1084048,0.4586,0.324887145973614,17.6096374866196
1083234,0.649,0.35971861099831,1.60599932892126
1083818,-0.01152,0.375637120003022,1.1030664299803
1083946,0.01894,0.37548353464477,1.43885603791499
1094054,-0.5824,0.335861175381768,-0.300703026529287
1086884,0.6322,0.312856859541596,-0.331895078925889
1084050,-0.2332,0.291589107461587,-0.321328513577302
1088230,0.01948,0.385731992935999,-0.601049138557406
1094118,-0.919,0.335227455165315,-4.84359433692599
1084092,-0.4853,0.326483156890706,-6.45863336557194
1088212,0.1716,0.385122524530405,1.11659206311936
1087250,0.2259,0.347216462522075,0.821824082590162
1085612,1.056,0.314467036236059,1.05130944456992
1090852,0.3412,0.360651399106612,2.60801402374934
1090098,-0.7176,0.330941939200484,1.07305795775581
1081330,0.03554,0.230280916809111,0.0374000471344078
1080186,0.09373,0.353326360622916,-3.63168432254526
1081358,0.03554,0.230280916809111,0.0374000471344078
1087458,0.912,0.321689457828481,1.88948748535469
1089844,0.6611,0.359874122902284,2.43319063486379
1084122,-0.1494,0.326642654100048,1.82093025518014
1084346,-0.1174,0.263006015733457,-0.119910451615641
1080622,-1.178,0.314467036236059,-5.16169347499303
1080920,0.4781,0.274970544626921,1.3495122923449
1086408,0.3684,0.326961591855623,-0.512894799538194
1085780,1.267,0.348158316727894,4.84079443261169
1084406,-0.3992,0.36716187705994,-2.39558068013098
1093712,-0.4024,0.340604444276554,-4.43687700047317
1091068,-0.2242,0.316236049070253,-3.08780857866476
1094066,-0.4066,0.366233848652835,1.24250946601935
1084642,0.7902,0.3490994909764,4.9038814649281
1084248,-0.2964,0.33649459339497,-2.05306819288891
1082618,-0.8355,0.351762458801197,-1.68667143707854
1080886,0.2516,0.235048021985287,-0.901765370225477
1092168,-0.7683,0.312373438223045,-0.864118821913715
1091608,0.8618,0.389534323678569,2.9312337576127
1081450,-0.763,0.376558235510771,-2.40147262956248
1084462,-0.2595,0.336177922163775,-0.720865903541858
1080830,0.4537,0.274805041127974,1.14693191660365
1090412,-0.1902,0.316718110474176,-0.737894183574847
1086032,0.4039,0.375022665243793,3.91994576253761
1082696,-0.6155,0.353013731360198,0.589545355276487
1084408,-0.3788,0.336019558216623,-3.89854105103365
1090104,-0.8345,0.329987732436797,-1.71845583712451
1086910,0.7237,0.311728612037133,1.20276977456138
1081842,0.8343,0.362049306349102,0.58515277196891
1088822,1.916,0.33997299058448,5.26737548804495
1081570,-1.042,0.403425247192815,-4.28989685700974
1084272,-0.1956,0.301370293420469,-1.50615799183216
1081342,0.02373,0.27115918556224,-0.162082647875596
1092890,-0.8414,0.358162453134887,-4.69926061404803
1081724,-0.4309,0.326961591855623,-0.645546450842602
1081270,0.1639,0.272983256051148,2.12984218663225
1087680,-0.8673,0.378551653146219,-1.22727234736677
1092416,-0.2005,0.378091917007432,-0.776916088961022
1081692,-0.3406,0.41314311212685,0.111336532953105
1090422,0.4449,0.381000708288869,4.9127408541801
1092320,0.3707,0.352701026546667,-0.448400669555595
1080030,0.381,0.35129291994447,3.09133404665342
1086914,0.6938,0.275466941797543,0.696073039192028
1087124,0.1795,0.386950023137436,1.50447178416401
1080408,0.1258,0.342654581684594,3.8191294751183
1086634,0.02306,0.296814201664007,0.0177849601359956
1091018,-0.06824,0.345645194496123,0.170605885594844
1088014,-0.09515,0.319767218502394,1.37961483733111
1090442,-0.3401,0.350509977429195,-2.23497249456021
1087040,-0.222,0.38588431281814,-3.29901209930798
1096166,-0.1734,0.199977183654582,4.33934973507284
1091060,-0.08819,0.28009178479351,-0.0867582184075965
1093606,-0.2333,0.340288755205923,-0.566898690094454
1084734,0.724,0.376404763478737,1.96263767520168
1085980,-0.2073,0.299907450254512,4.74292535055295
1094112,-0.579,0.335544353048948,-0.253610256601981
1082412,-0.147,0.330623945830067,-2.57611482084782
1090652,-0.2651,0.314788844922513,-0.64681652023632
1092560,-0.06711,0.314788844922513,0.99765764279478
1093222,-0.1303,0.425436069846726,-2.52680180886172
1086438,0.4896,0.25228867965511,0.49169658739101
1082584,0.03701,0.329987732436797,0.568808944519261
1088936,1.709,0.369170272643995,1.82492466948571
1087822,1.091,0.35940753052725,-1.90416487572276
1082210,0.09919,0.346273928358942,-0.145424930032861
1084330,-0.1174,0.263006015733457,-0.119910451615641
1095230,0.2493,0.154854611904919,0.249299999999978
1090008,-0.8265,0.330782951959127,-1.50878223678624
1084006,-0.4867,0.327758605709753,-6.28248328026334
1083204,0.1949,0.356916166929521,-2.78848944791417
1080086,0.272,0.383750115687182,0.363222330138024
1095934,-0.463,0.146615455807497,6.1238174194901
1087620,-0.6171,0.34925628724419,3.39204122830402
1092922,-0.5649,0.325844979176307,-1.86790687369717
1080646,-0.7638,0.347844440876767,-0.296957791284294
1095216,NA,NA,NA
1093934,0.4555,0.329510374070961,-0.00891574280851392
1084172,-0.7589,0.358318153915893,-7.14926720831828
1083820,0.03597,0.376558235510771,1.60205416595001
1087324,0.1984,0.313823192210711,0.189805961336337
1091014,-0.2053,0.31687875983341,-2.63226950234681
1091646,0.7089,0.387862752504982,1.26525533125861
1084732,0.2405,0.348001388246182,-10.2872459453806
1093778,-0.2284,0.341235595765377,-0.448027429447605
1083922,-0.283,0.345173445778126,-2.91770596986721
1093440,-0.3595,0.370250394280804,-1.62832134657951
1093262,0.2837,0.310599439035216,0.287710231064061
1088842,1.981,0.338234934695766,6.47643529907405
1091232,-0.2145,0.330146814116669,2.83136705235194
1088010,-0.4007,0.352388246182323,-2.32095704659056
1082562,0.01139,0.361894058872971,0.0806771993911645
1082726,-0.7613,0.319927508995269,-1.00381895917246
1092030,-0.7683,0.312373438223045,-0.864118821913715
1091302,-0.2694,0.362359744638253,0.85274528887284
1084630,0.4246,0.376097762751561,-2.36824015388552
1081650,-0.4194,0.291916242480333,-0.439987041902079
1091552,0.01541,0.368552644750635,-0.0282081814269903
1084516,-0.5667,0.366079111144689,-4.75929541973599
1081260,-0.2246,0.311083483647971,-2.61847450736237
1086326,NA,NA,NA
1089626,0.284,0.346431064605389,5.1348729050315
1089254,-0.2017,0.356916166929521,-2.28201689419257
1093216,0.2837,0.310599439035216,0.287710231064061
1086920,0.7745,0.312695737989782,2.04310203573097
1087078,0.3977,0.386188895919312,4.13130271927175
1089214,-0.08136,0.326323640793661,-1.63425767824645
1090636,-0.2206,0.315110578058155,-0.0397971436922432
1085276,-0.4864,0.266006327380559,-0.444375599668592
1085430,1.354,0.386797835469218,4.84263456734184
1086512,0.03512,0.290443539933326,-4.80972657373009
1088040,0.07634,0.379164370236757,1.94776994916446
1091666,0.6545,0.327121032401855,0.654500000000003
1093360,0.2722,0.343284751012853,0.0659218860445009
1086718,0.007509,0.36142820311836,-0.196526469448671
1088638,0.7021,0.308338316539017,0.817093360953342
1080116,0.2652,0.352701026546667,0.289682306295772
1082218,0.05951,0.375329930398814,-0.503239050299384
1082644,-0.7115,0.319446580853535,-0.197060716467174
1087454,1.042,0.409713605756972,2.08672415172697
1086658,-0.1212,0.36142820311836,-2.0150367201577
1087330,0.04581,0.347530489474827,-3.23959499362122
1088430,-0.4004,0.340762260480314,-1.70493876844462
1081862,0.9417,0.363135509826328,1.66484240211229
1082288,NA,NA,NA
1093214,0.293,0.345016158430054,0.455539943938227
1082098,-0.4128,0.3490994909764,-2.46180199841123
1080282,0.2646,0.376097762751561,1.13657437073851
1080132,-0.1547,0.353795162859221,-9.19349502292627
1082182,-0.309,0.314949720934186,-0.303601675320478
1094050,-1.04,0.365614785294034,-4.67725192760573
1090428,-0.1616,0.279431999546695,-0.171087901844265
1092044,-0.7683,0.312373438223045,-0.864118821913715
1085414,1.101,0.384665224905325,1.91381840090873
1088044,-0.06668,0.320408267147674,1.81221803042231
1082048,-0.2391,0.378551653146219,0.539892007357041
1082234,0.2726,0.404325624002493,1.43627591858001
1089722,-0.07779,0.346588181964132,-2.26662661300789
1087228,0.2077,0.347373485442303,0.407650558032589
1093296,0.03988,0.345330714238495,-4.16176686046446
1090446,-0.1759,0.317521168393318,-0.445812614578789
293480,-0.5069,0.371175476206216,-3.03306067463654
1080212,-0.04969,0.345802406293383,-4.08524253738688
291400,-0.3744,0.294204072188802,-0.371640738724174
1086466,0.8839,0.328873631822002,3.70503133219284
1082058,-0.309,0.314949720934186,-0.303601675320478
1085244,-0.5217,0.303156135198179,-1.42602092386403
1087616,-0.7763,0.34972656272134,0.275827211600028
1087522,0.8507,0.2847018198302,0.850700000000002
1094136,-0.6752,0.334910481730869,-1.5554994384451
1080174,0.4338,0.353482646922721,4.12836369003904
1086186,0.05901,0.345016158430054,-0.915451089657233
1085058,0.2894,0.361272880091417,0.606536840339411
1093686,-0.2986,0.340920057796372,-2.04455682763751
1082040,-0.4039,0.348628988846811,-2.29952422305326
1085610,0.9337,0.379470615455808,-0.280297286548821
1081440,-0.5932,0.377325312355391,-0.44589796868196
1088030,-0.2073,0.350823211098415,-0.335201150844922
1091778,0.1034,0.387862752504982,-5.53276586501141
1081868,0.9755,0.330782951959127,2.62208535331634
1087526,0.8619,0.321529375100341,1.04104307691516
1092032,-0.9394,0.377325312355391,-2.99768288086856
1088622,0.7352,0.371791819735761,1.15382847322463
1087062,-0.01166,0.410758426276573,-0.552456716419936
1094030,-0.4333,0.364220787806099,1.02726109810668
1087828,1.5,0.387254341810764,4.04181978052466
1090418,-0.1616,0.279431999546695,-0.171087901844265
1088848,1.681,0.37009614785294,1.52830039923465
1092026,-0.625,0.346588181964132,2.73257581180938
1081588,-0.6105,0.347059420714144,-0.666862072455791
294266,-0.4983,0.343599722350764,0.498020632163625
1085744,0.9385,0.348158316727894,-1.05388848995399
1092512,-0.1232,0.277450830586747,-0.127794172811623
1083074,-0.316,0.337285940938152,-2.66497324419269
1081896,0.9523,0.331895466006856,2.23822129593222
1091598,0.06742,0.336652900679013,0.922988467314886
1093212,0.1179,0.375790686473572,-1.56781234844977
1086622,-0.2646,0.364685623624739,-3.83773371221543
1090982,NA,NA,NA
1083876,-0.09143,0.345802406293383,0.437607021264128
1091418,0.02953,0.367007252878014,0.133408164384296
1090456,-0.145,0.318163274749974,0.159928787869791
1087820,1.015,0.384512753921559,-1.69117836701098
1088220,0.08009,0.323129352435097,0.0794905689617576
1086262,0.3243,0.284373022693575,0.324530398974129
1093258,0.3377,0.343284751012853,1.31298869532173
1080360,0.3409,0.376558235510771,1.9884621187317
1086528,0.4597,0.326961591855623,0.242887942206269
1089816,0.2686,0.359251961960166,-1.088072377904
1088452,-0.2,0.342181756367517,3.22135411040205
1087846,1.26,0.326164105808913,1.26
1091054,-0.03401,0.313662183985116,1.18443791051773
1082428,0.004334,0.294367346938776,0.00602721581980331
1083282,0.5356,0.328077279037483,0.530440024319615
1088052,0.03828,0.317681723314037,3.64221323944544
1081696,-0.2826,0.326961591855623,2.20038648644198
1080916,0.3594,0.189862554184099,0.359400000000001
1093234,0.275,0.375329930398814,0.186599029402074
1093764,-0.01259,0.371175476206216,2.39374049654481
1088056,-0.1992,0.318163274749974,-0.282630942419826
1093528,-0.4736,0.396197754252094,-2.18380873780626
1093510,-0.105,0.36870708005553,0.863398919793628
1088836,1.441,0.339815079942204,-2.48847816957174
1086962,0.7958,0.308338316539017,2.53848091664049
1089992,0.4969,0.36111753817677,0.957723578348585
1088620,0.9266,0.342024110153085,6.47976660420666
1085164,0.3409,0.329987732436797,1.71680356979511
1085440,1.027,0.324088432226199,0.99881394036956
1095076,-0.1081,0.132191294657613,-0.108100000000028
1084212,-0.0366,0.301532737111504,1.31179702116784
1080024,0.196,0.380847784000227,-0.629087148752162
1081828,0.8617,0.295672864981254,0.86703239051742
1082260,0.01334,0.346273928358942,-1.74425704410498
1080964,0.3594,0.189862554184099,0.359400000000001
1093340,0.2842,0.345330714238495,0.293939002179083
1085470,0.6848,0.357383665914307,-5.70016243029719
1080178,0.4632,0.38222342264069,2.82056176056892
1089634,0.008841,0.377325312355391,-0.27476112188775
1092438,-0.1232,0.277450830586747,-0.127794172811623
1092326,0.279,0.31832375411988,-1.96012583344062
1093818,0.5104,0.330464920813305,1.02162130788551
1088422,-0.48,0.341708761061111,-3.6299046017767
1090746,-0.2349,0.277781214290436,-0.233551747120299
1091212,-0.6986,0.329192040721888,-7.01197135177971
