"Genotype","BV","Std_Error(BV)","Derregressed_BV"
1087120,-0.04476,0.465915026051809,-0.622230711740766
1085618,0.5817,0.459827517818074,-1.44499883421757
1091040,0.1465,0.448942205007906,1.13327400947708
1091686,0.5625,0.419928153363761,-0.633445046635917
1082624,-0.1929,0.445954637724599,-0.973656569880714
1088628,0.4684,0.456672081039703,-1.23944635708953
1088644,0.5932,0.410502908505471,-1.16413922942944
1084648,0.3558,0.526922189177596,0.449078822707075
1083276,0.0198,0.403694528850831,-2.14877484083229
1084112,0.133,0.450730868567142,0.758098147825736
1094004,-0.4986,0.452913064313777,-2.01968609477438
1084022,0.3053,0.403280643406999,3.71971098199815
1085330,-1.067,0.447349840889226,-3.45623223377264
1088676,0.7375,0.456277005307282,0.819681752448516
1088606,0.9779,0.410708612801732,4.32831755235526
1080862,-0.1812,0.405968332199605,-0.232764987782448
1090712,-0.9516,0.441358014498554,-3.8420764282167
1090718,-0.5594,0.442758996982908,-1.43867123287517
1089706,-0.3719,0.466110822942822,-1.14651044827972
1093734,0.03666,0.461991549988423,-0.54824956891874
1087716,-0.1933,0.365229512580789,-0.199503508301415
1088416,0.01563,0.462777393885767,0.81363290929441
1088384,0.3865,0.467284850464589,0.355271861806255
1088608,0.6262,0.409885580238316,-0.708304178665635
294054,-0.1474,0.406174826216574,0.444291945664599
1082458,0.04839,0.445755179401212,0.587481384761734
1093220,0.2262,0.458645305918059,-0.967981201961675
1085674,1.007,0.460221301280245,1.45995162951699
1092304,0.8162,0.480113863367548,2.51904301243365
1093272,0.6756,0.458448144964005,2.16922345532641
1080958,NA,NA,NA
1088278,0.4622,0.422578043251567,1.19890715898222
1090816,0.0274,0.403487604077113,-2.33325466202961
1081278,-0.6174,0.361381131777464,-2.77065824806241
1088664,0.9404,0.45647456112169,2.37490938428601
1095268,0.1532,0.203896912730477,0.158217006322428
1093708,-0.01908,0.461205131748747,-0.949497582874164
1083844,-0.06801,0.459433590770319,-0.756778844661829
1089612,-0.1219,0.4657191932644,0.693844393775031
1087932,1.318,0.465523324580596,1.59973485395276
1088686,0.8921,0.410708612801732,3.104940085034
1084228,-0.5448,0.438349986269629,-3.057915199997
1091092,-0.1932,0.448544329356611,-1.2795195672804
1083348,0.2594,0.451127954497728,0.231819532876502
1091656,0.6252,0.463562663440777,0.337467780135944
1090758,-0.5644,0.442958993752232,-1.46730081997598
1091204,-0.509,0.459827517818074,-0.339698093569935
1085738,1.124,0.459827517818074,2.26148362668984
1087834,1.252,0.464935503150806,1.13864106092114
1086654,-0.5206,0.447549012041446,-2.53374905967639
1087612,-0.3938,0.465327420000395,-1.63098401470713
1085408,0.8044,0.422374420946265,1.67640419507003
1081892,0.2447,0.450929429480633,-0.126865074101158
1092058,-0.476,0.369066262951868,-0.475999999999905
1087808,1.081,0.464935503150806,-0.0607079354971263
1084654,0.02745,0.457461801747795,-2.03061649792268
1091310,-0.7241,0.413379502081094,-3.01022663528215
1089606,-0.3449,0.465327420000395,-0.953652877054915
1092224,0.2753,0.439955273090805,-0.114947438712763
1089374,0.3747,0.446552797316385,1.43659807111345
1085648,0.9292,0.357735870729899,0.938210142973967
1082694,-0.09487,0.44615406015159,-0.341057430614548
1090922,0.1012,0.491258760964105,-0.491841021120604
1091020,-0.01556,0.34196477127714,-0.0167743950672344
1093256,0.1737,0.412558336130261,-2.58650484509655
1086314,0.728,0.397471170707105,2.39886350154084
1091720,0.4991,0.464347358653454,-0.541929914264199
1082310,0.356,0.417067641373468,-0.891068214133533
